Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2035-03,Residency PGY1,415874.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1574.4,416917.28
2035-04,Residency PGY1,416917.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1527.39,417913.4
2035-05,Residency PGY1,417913.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1582.12,418964.25
2035-06,Residency PGY1,418964.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1534.89,419967.87
2035-07,Residency PGY2,419967.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1589.88,420989.75
2035-08,Residency PGY2,420989.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1593.75,422015.5
2035-09,Residency PGY2,422015.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,-568.0,1549.52,423942.02
2035-10,Residency PGY2,423942.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1604.93,424978.94
2035-11,Residency PGY2,424978.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1556.92,425967.86
2035-12,Residency PGY2,425967.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1612.6,427012.46
2036-01,Residency PGY2,427012.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1616.55,428061.01
2036-02,Residency PGY2,428061.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1515.91,429008.92
2036-03,Residency PGY2,429008.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1624.11,430065.03
2036-04,Residency PGY2,430065.03,0.0,0.0,0.0,0.0,0.0,0.0,4478.0,0.0,-568.0,1584.3,435559.32
2036-05,Residency PGY2,435559.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-568.0,1648.91,436640.24
2036-06,Residency PGY2,436640.24,0.0,0.0,0.0,0.0,0.0,0.0,431.25,0.0,-568.0,1600.49,438103.97
